DocType: POS Closing Shift Taxes,Rate
DocType: POS Offer,Warehouse
Custom Field - label: Sales Invoice-posa_additional_notes_section,Additional Notes
DocType: POS Closing Shift,Total Quantity
Custom Field - label: POS Profile-posa_allow_sales_order,Allow Create Sales Order
Custom Field - label: POS Profile-posa_allow_credit_sale,Allow Credit Sale
Custom Field - label: POS Profile-posa_allow_partial_payment,Allow Partial Payment
Custom Field - label: POS Profile-posa_allow_return,Allow Return
Custom Field - label: POS Profile-posa_allow_submissions_in_background_job,Allow Submissions in background job
Custom Field - label: POS Profile-posa_allow_user_to_edit_item_discount,Allow User to Edit Item Discount
Custom Field - label: POS Profile-posa_allow_user_to_edit_additional_discount,Allow user to edit Additional Discount
Custom Field - label: POS Profile-posa_allow_user_to_edit_rate,Allow user to edit Rate
Custom Field - label: POS Profile-posa_apply_customer_discount,Apply Customer Discount
DocType: POS Offer Detail,Row ID
Custom Field - label: POS Profile-posa_allow_delete,Auto Delete Draft Invoice
Custom Field - label: POS Profile-posa_allow_delete_offline_invoice,Allow Delete Offline Invoice
Custom Field - label: POS Profile-posa_auto_set_batch,Auto Set Batch
Custom Field - label: POS Profile-posa_allow_price_list_rate_change,Allow Price List Rate Change
DocType: POS Opening Shift,Status
Custom Field - label: POS Profile-posa_cash_mode_of_payment,Cash Mode of Payment
DocType: POS Closing Shift Detail,POS Closing Shift Detail
DocType: Sales Invoice Reference,Sales Invoice Reference
Custom Field - label: Sales Invoice-posa_delivery_date,Delivery Date
Custom Field - label: Customer-posa_discount,Discount %
Custom Field - description: POS Profile-posa_cash_mode_of_payment,For POS Closing Shift Payment Reconciliation
Custom Field - label: POS Profile-posa_hide_closing_shift,Hide Close Shift
Custom Field - label: POS Profile-posa_display_items_in_stock,Hide Unavailable Items
Custom Field - label: POS Profile-posa_hide_variants_items,Hide Variants Items
Custom Field - label: Sales Invoice Item-posa_is_offer,Is Offer
Custom Field - label: Sales Invoice Item-posa_is_replace,Is Offer Replace For item Row ID
Custom Field - label: POS Profile-posa_max_discount_allowed,Max Discount Percentage Allowed 
Custom Field - label: POS Profile-posa_pos_awesome_advance_settings,POS Awesome Advance Settings
Custom Field - label: POS Profile-posa_pos_awesome_settings,POS Awesome Settings
Custom Field - label: Sales Invoice Item-posa_offers,POS Offers
Custom Field - label: Sales Invoice-posa_offers,POS Offers Detail
DocType: POS Opening Shift Detail,POS Opening Shift Detail
Custom Field - label: Sales Invoice-posa_pos_opening_shift,POS Shift
Custom Field - label: POS Invoice-posa_pos_opening_shift,POS Shift
Custom Field - label: Batch-posa_batch_price,Price
Custom Field - label: Sales Invoice-posa_is_printed,Printed
Custom Field - label: POS Invoice-posa_is_printed,Printed
Custom Field - label: POS Profile-posa_search_serial_no,Search by Serial Number
Custom Field - description: POS Profile-posa_allow_submissions_in_background_job,Send invoice to submit after printing
Custom Field - label: POS Profile-posa_show_template_items,Show Template Items
Custom Field - label: Item Barcode-posa_uom,UOM
Custom Field - label: POS Profile-posa_local_storage,Use Browser Local Storage
Custom Field - label: POS Profile-posa_force_server_items,Fetch Items Directly from Server
Custom Field - label: POS Profile-use_cashback,Use Cashback
Custom Field - label: POS Profile-use_customer_credit,Use Customer Credit
Menu,Menu
Actions,Ações
Close Shift,Fechar Turno
End current session,Finalizar sessão atual
Print Last Invoice,Imprimir Última Fatura
Reprint previous transaction,Reimprimir transação anterior
Sync Offline Invoices,Sincronizar Faturas Offline
Upload pending transactions,Carregar transações pendentes
Go Online,Conectar
Go Offline,Desconectar
Disable offline mode,Desativar modo offline
Work without server connection,Trabalhar sem conexão com servidor
Clear Cache,Limpar Cache
Remove local data and refresh,Remover dados locais e atualizar
About,Sobre
App information,Informações do aplicativo
Language,Idioma
Change interface language,Alterar idioma da interface
Light Mode,Modo Claro
Dark Mode,Modo Escuro
Switch theme appearance,Alternar aparência do tema
Logout,Sair
Sign out of session,Sair da sessão
Select Language,Selecionar Idioma
Choose your preferred language for the POS interface,Escolha seu idioma preferido para a interface POS
Language will be changed to,O idioma será alterado para
Cancel,Cancelar
Change Language,Alterar Idioma
Close,Fechar
Cannot change language - same language selected,Não é possível alterar o idioma - mesmo idioma selecionado
Language changed successfully! Reloading...,Idioma alterado com sucesso! Recarregando...
Failed to change language,Falha ao alterar o idioma
Unknown error,Erro desconhecido
* Required,Obrigatório
- Total Outstanding,Total Pendente
- Total Unallocated,Total Não Alocado
Add,Adicionar
Add Payment,Adicionar Pagamento
Additional Notes,Notas Adicionais
Address,Endereço
All,Todos
All Synchronized,Tudo Sincronizado
All Warehouses,Todos os Armazens
All pending invoices are up to date,Todas as faturas pendentes estao atualizadas
Amount must be greater than zero.,O valor deve ser maior que zero.
Apply Offer,Aplicar Oferta
Authorization Code,Codigo de Autorização
Auto Reconcile,Conciliacao Automatica
Available Credit,Credito Disponivel
Available Items,Itens Disponiveis
Back Office Cash Account must be a Cash account.,A conta de dinheiro do escritorio deve ser uma conta de dinheiro.
Barcode,Codigo de Barras
Batch,Lote
Buying Price,Preco de Compra
Calculating...,Calculando...
Cancel Sale ?,Cancelar Venda?
Card / Online,Cartao / Online
Cash,Dinheiro
Cash Collections,Cobrancas em Dinheiro
Cash Movement,Movimento de Dinheiro
Cash returned after payment,Dinheiro devolvido apos pagamento
Cashback Active,Dinheiro de Volta Ativo
Cashback?,Dinheiro de volta?
Cashier-wise,Por Caixa
Category,Categoria
Certificate,Certificado
Change,Troco
Charges,Encargos
Check cache and performance,Verificar cache e desempenho
Check for Updates,Verificar Atualizacoes
Clear All,Limpar Tudo
Close Dialog,Fechar Dialogo
Close Settings,Fechar Configuracoes
Collected,Cobrado
Company is required,Empresa obrigatoria
Completed and active sales in this range,Vendas concluidas e ativas neste intervalo
Connect,Conectar
Connecting,Conectando
Connections:,Conexões:
Create,Criar
Create Bill,Criar Fatura
Create New Item,Criar Novo Item
Create Purchase Order,Criar Pedido de Compra
Create Return,Criar Devolucao
Create Supplier,Criar Fornecedor
Credit Note,Nota de Credito
Credit Return Active,Devolucao a Credito Ativa
Credit Return?,Devolucao a Credito?
Credit Sale?,Venda a Credito?
Credit redemption details are shown below in this section.,Os detalhes do resgate de credito sao mostrados abaixo nesta secao.
Currency,Moeda
Currency is required,Moeda obrigatoria
Current,Atual
Current Event Loop Lag:,Atraso do Loop de Eventos Atual:
Current Month,Mes Atual
Current Profile,Perfil Atual
Current User,Usuario Atual
Customer,Cliente
Customer Credit Enabled,Credito do Cliente Habilitado
Customer Details,Detalhes do Cliente
Customer Report,Relatorio de Cliente
Customer already exists,O cliente ja existe
Customer is required,Cliente obrigatorio
Customers,Clientes
Daily Sales,Vendas Diarias
Data loaded in form. Review and submit.,Dados carregados. Revisar e enviar.
Days,Dias
Days until due,Dias ate o vencimento
Decrease quantity,Diminuir quantidade
Default,Padrao
Delete,Excluir
Delete Draft,Excluir Rascunho
Deposit,Deposito
Detecting formats:,Detectando formatos:
Device Memory:,Memoria do Dispositivo:
Difference:,Diferenca:
Disconnect,Desconectar
Discount,Desconto
Discounts,Descontos
Dismiss,Dispensar
Download Certificate,Baixar Certificado
Draft invoice deleted,Fatura de rascunho excluida
Drafts,Rascunhos
Duplicate,Duplicar
Edit,Editar
Edit discount amount,Editar valor do desconto
Edit discount percentage,Editar percentual de desconto
Edit item name,Editar nome do item
Edit quantity,Editar quantidade
Edit rate,Editar taxa
Edit unit of measure,Editar unidade de medida
Edited,Editado
Enable background sync,Habilitar sincronizacao em segundo plano
Enter Quantity,Inserir Quantidade
Error accessing camera:,Erro ao acessar camera:
Error in change calculations!,Erro nos calculos de troco!
Error loading invoice details,Erro ao carregar detalhes da fatura
Error processing invoice,Erro ao processar fatura
Error updating currency,Erro ao atualizar moeda
Every,Cada
Exchange Rate,Taxa de Cambio
Expected vs Actual,Esperado vs Real
Expense,Despesa
Expired,Expirado
Failed to cancel cash movement,Erro ao cancelar movimento de dinheiro
Failed to create item,Erro ao criar item
Failed to create supplier,Erro ao criar fornecedor
Failed to delete cash movement,Erro ao excluir movimento de dinheiro
Failed to submit cash movement,Erro ao enviar movimento de dinheiro
Fast Moving Items,Itens de Movimento Rapido
Fees,Taxas
Finance,Financas
Fixing payment amounts for return invoice...,Ajustando valores de pagamento para fatura de devolucao...
Free,Gratis
Free Qty,Qtd Gratis
Frequency,Frequencia
From Date,Da Data
Generate Certificate,Gerar Certificado
Go to Frappe Desk,Ir para Area de Trabalho Frappe
Gross Margin,Margem Bruta
Gross Profit,Lucro Bruto
Gross Sales,Vendas Brutas
High,Alto
History,Historico
Hourly (Today),Por Hora (Hoje)
In,Em
Increase quantity,Aumentar quantidade
Invalid payload for cash movement.,Carga invalida para movimento de dinheiro.
Inventory,Estoque
Invoice,Fatura
Invoice Adjustments,Ajustes de Fatura
Invoice Details,Detalhes da Fatura
Invoice Items,Itens da Fatura
Invoice Management,Gestao de Faturas
Invoice Submission Failed,Envio de Fatura Falhou
Invoice Submitted,Fatura Enviada
Invoice {0} does not exist,A fatura {0} nao existe
Invoices already past due date,Faturas com data de vencimento passada
Invoices saved as POS Invoices,Faturas salvas como Faturas POS
Invoices still carrying balances,Faturas ainda com saldos
Item,Item
Item Name,Nome do Item
Item Search,Buscar Item
Item Selector,Seletor de Itens
Item code is required.,Codigo do item obrigatorio.
Item created successfully,Item criado com sucesso
Items Sold,Itens Vendidos
Journal Entry,Lancamento Contabil
Labels,Rotulos
Last,Ultimo
Last sync:,Ultima sincronizacao:
Latest entries for current shift,Ultimas entradas para turno atual
Limited,Limitado
Live Snapshot,Instantaneo ao Vivo
Load Draft,Carregar Rascunho
Load Sale,Carregar Venda
Loading app data...,Carregando dados do aplicativo...
Loading customers...,Carregando clientes...
Loading database stats...,Carregando estatisticas do banco...
Loading details...,Carregando detalhes...
Loading drafts...,Carregando rascunhos...
Loading invoice history...,Carregando historico de faturas...
Loading items...,Carregando itens...
Loading return invoices...,Carregando faturas de devolucao...
Loading server CPU/memory usage...,Carregando uso de CPU/memoria do servidor...
Loading suppliers...,Carregando fornecedores...
Loading unpaid invoices...,Carregando faturas nao pagas...
Loading...,Carregando...
Location Performance,Desempenho da Localização
Locations,Localizacoes
Low,Baixo
Low Stock,Estoque Baixo
Low Stock Alerts,Alertas de Estoque Baixo
Low Stock Items,Itens com Estoque Baixo
Margin,Margem
Medium,Medio
Method-wise Collections,Cobrancas por Metodo
Minimum Qty,Qtd Minima
Missing Dependency,Dependencia Faltante
Mobile Number,Número de Celular
Mode of Payment is required,Modo de pagamento obrigatorio
Month,Mes
Monthly Profit,Lucro Mensal
Monthly Sales,Vendas Mensais
Movement Type,Tipo de Movimento
Movement Type must be Expense or Deposit.,O tipo de movimento deve ser Despesa ou Deposito.
Movements,Movimentos
Multi Currency,Multi Moeda
Multiple Warehouses,Multiplos Armazens
N/A,N/D
Negative Stock,Estoque Negativo
Net,Liquido
Net Qty,Qtd Liquida
Net Sales,Vendas Liquidas
Net Value,Valor Liquido
Never,Nunca
New Item,Novo Item
New changes are ready to load,Novas alteracoes prontas para carregar
New rate,Nova taxa
Next unit of measure,Proxima unidade de medida
No Barcode,Sem Codigo de Barras
No Print Formats Found,Nenhum formato de impressao encontrado
No active POS Profile found for current user.,Nenhum perfil POS ativo encontrado.
No attribute data found.,Nenhum dado de atributo encontrado.
No cash expected for this shift.,Nenhum dinheiro esperado para este turno.
No cash mode configured,Nenhum modo de dinheiro configurado
No drafts found,Nenhum rascunho encontrado
No due date,Sem data de vencimento
No invoice activity found.,Nenhuma atividade de fatura encontrada.
No invoices recorded for this shift.,Nenhuma fatura registrada para este turno.
No items to invoice. Please ensure there are items on the Purchase Order.,Nenhum item para faturar.
No items to receive. Please enter received quantities.,Nenhum item para receber.
No notifications yet,Nenhuma notificacao ainda
No outstanding invoices available for allocation of credit note {0},Nenhuma fatura disponivel para alocacao de nota de credito {0}
No outstanding invoices available for allocation of payment {0},Nenhuma fatura disponivel para alocacao de pagamento {0}
No outstanding invoices were available to reconcile Credit Note {0}.,Não havia faturas disponiveis para conciliar nota de credito {0}.
No outstanding invoices were available to reconcile Journal Entry {0}.,Não havia faturas disponiveis para conciliar lancamento {0}.
No outstanding invoices were available to reconcile Payment Entry {0}.,Não havia faturas disponiveis para conciliar pagamento {0}.
No outstanding invoices were found for {0}.,Nenhuma fatura pendente encontrada para {0}.
No response from server,Sem resposta do servidor
No return invoices found,Nenhuma fatura de devolucao encontrada
Not Set,Não Definido
Notifications,Notificacoes
OK,OK
Offer Item,Item de Oferta
Offer Removed,Oferta Removida
Offer UOM cannot be changed,A UOM da oferta nao pode ser alterada
Offer criteria exceeded,Criterios de oferta excedidos
Offer item unavailable,Item de oferta indisponivel
Offer?,Oferta?
Offline,Offline
Offline invoices status,Status de faturas offline
Offline invoices synced,Faturas offline sincronizadas
Online,Online
Open Customer Display,Abrir Tela do Cliente
Open Payments?,Abrir Pagamentos?
Open balance to collect,Saldo aberto para cobrar
Open invoices,Faturas abertas
Opening Cash,Dinheiro de Abertura
Original,Original
Other,Outro
Out,Saida
Out of Stock,Sem Estoque
Overdue,Vencido
POS Expense is disabled for this POS Profile.,Despesa POS desabilitada.
Packing List,Lista de Embalagem
Page Format,Formato de Pagina
Parent Item,Item Pai
Partial,Parcial
Partly Paid,Parcialmente Pago
Pay,Pagar
Payment,Pagamento
Payment Entry is already created or payment account is not matched,Entrada de pagamento ja existe ou conta nao corresponde
Payment Gateway Account not found,Conta de gateway de pagamento nao encontrada
Payment History,Historico de Pagamentos
Payment Method Report,Relatorio de Metodo de Pagamento
Payment Progress,Progresso do Pagamento
Payment Request for {0},Solicitacao de Pagamento para {0}
Payment State,Estado do Pagamento
Payment Status,Status do Pagamento
Payment Summary,Resumo do Pagamento
Payment amount cannot be less than or equal to 0,O valor do pagamento nao pode ser menor ou igual a 0
Payments are not open. Do you want to open payments and submit?,Pagamentos nao estao abertos. Quer abrir pagamentos e enviar?
Payments by Mode of Payment,Pagamentos por Metodo de Pagamento
Peak Hour,Hora de Pico
Peak Memory:,Memoria de Pico:
Peak Server:,Servidor de Pico:
Peak:,Pico:
Pending Amount,Valor Pendente
Pending Sync,Sincronização Pendente
Per Page,Por Pagina
Please add at least one item.,Por favor adicione pelo menos um item.
Please enter payment amount,Por favor insira valor do pagamento
Please enter the phone number first,Por favor insira o numero de telefone primeiro
Please fill all required fields,Por favor preencha todos os campos obrigatorios
Please select a customer before reconciling.,Por favor selecione um cliente antes de conciliar.
Please select the customer.,Por favor selecione o cliente.
Please set Default Payable Account in Company {0},Por favor configure Conta Pagadora Padrao na Empresa {0}
Please set default account for Mode of Payment {0} in company {1},Por favor configure conta padrao para Metodo de Pagamento {0} na empresa {1}
Please try again or enter the item manually.,Por favor tente novamente ou insira o item manualmente.
Popup blocked. Please allow popups.,Popup bloqueado.
Posting,Publicação
Posting and Price List,Publicação e Lista de Precos
Previous unit of measure,Unidade de medida anterior
Price List Rate,Taxa de Lista de Precos
Price List is required,Lista de precos obrigatoria
Pricing Rule,Regra de Precos
Print,Imprimir
Print Format,Formato de Impressão
Print Format (Invoice),Formato de Impressão (Fatura)
Print Format (Order),Formato de Impressão (Pedido)
Print Purchase Invoice instead of PO,Imprimir Fatura de Compra em vez de PC
Printer,Impressora
Processed returns impacting the shift totals,Devolucoes processadas que afetam os totais do turno
Procurement,Aquisicoes
Products,Produtos
Profile,Perfil
Profiles,Perfis
Profit,Lucro
Profitability Report,Relatorio de Lucratividade
Purchase Amount,Valor de Compra
Purchase Invoices,Faturas de Compra
Purchase Order,Pedido de Compra
Purchase Order Date,Data do Pedido de Compra
Purchase Order created,Pedido de Compra criado
Purchase Order {0} has been saved as Draft. Error: {1},O pedido de compra {0} foi salvo como rascunho. Erro: {1}
Purchase order requires at least one item with quantity.,O pedido de compra requer pelo menos um item com quantidade.
Purchase order requires at least one item.,O pedido de compra requer pelo menos um item.
Purchase orders,Pedidos de Compra
QZ Certificate Missing,Certificado QZ Faltante
QZ Certificate Ready,Certificado QZ Pronto
QZ Tray Setup,Configuração do QZ Tray
QZ Tray certificate not found. Ask an administrator to run Setup QZ Certificate.,Certificado QZ nao encontrado.
QZ Tray connected.,QZ Tray conectado.
QZ Tray is not connected.,QZ Tray nao conectado.
QZ certificate already exists.,O certificado QZ ja existe.
QZ certificate generated successfully.,Certificado QZ gerado com sucesso.
Qty,Qtd
Qualified,Qualificado
Quantity,Quantidade
Quantity exceeds available stock,A quantidade excede o estoque disponivel
Rate adjusted to maximum allowed discount,Taxa ajustada para o desconto maximo permitido
Ready,Pronto
Real-time POS insights for retail operations.,Insights de POS em tempo real para operacoes devarejo.
Receive now,Receber agora
Receive stock,Receber estoque
Received,Recebido
Recent Movement Entries,Entradas de Movimento Recentes
Recent updates about your invoices,Atualizacoes recentes sobre suas faturas
Recently Active Customers,Clientes Recentemente Ativos
Reconciling Payments,Conciliando Pagamentos
Redeem Credit,Resgatar Credito
Redeem Loyalty Points,Resgatar Pontos de Fidelidade
Redeemed Customer Credit,Credito do Cliente Resgatado
Redeemed credit cannot be greater than its total.,O credito resgatado nao pode ser maior que seu total.
Redemption and Totals,Resgate e Totais
Reference,Referencia
Referral Code is required,Codigo de indicacao obrigatorio
Referral Code {0} is disabled,O codigo de indicacao {0} esta desabilitado
Referral Code {0} is not exists,O codigo de indicacao {0} nao existe
Refresh,Atualizar
Refresh Exchange Rate,Atualizar Taxa de Cambio
Refresh Printers,Atualizar Impressoras
Reload Now,Recarregar Agora
Reload to apply the latest changes. Your current session will be refreshed.,Recarregar para aplicar as ultimas alteracoes.
Remaining outstanding: {0} across {1} invoice(s).,Pendente restante: {0} em {1} fatura(s).
Remarks,Observacoes
Remarks are required.,Observacoes obrigatorias.
Remove Offer,Remover Oferta
Remove item,Remover item
Reorder / Purchase Suggestions,Sugestoes de Reordenacao/Compra
Repeat Customers,Clientes Repetidos
Repeat Rate,Taxa de Repeticao
Request Payment,Solicitar Pagamento
Reset,Redefinir
Reset item name,Redefinir nome do item
Return,Devolucao
Return Amount,Valor da Devolucao
Return Count,Contagem de Devolucao
Return Valid Until,Devolução Válida Até
Return count,Contagem de Devolucao
Return value will be settled back through payment methods.,O valor de devolucao sera liquidado atraves de metodos de pagamento.
Return window passed,Janela de devolucao passou
Returns,Devolucoes
Returns / Voids / Discounts,Devolucoes/Anulacoes/Descontos
Returns are only allowed until {0},Devolucoes permitidas apenas ate {0}
Returns by Currency,Devolucoes por Moeda
Revenue,Receita
Review shift totals before submitting the closing entry,Revise os totais do turno antes de enviar o fechamento
Round Off,Arredondar
Rows:,Linhas:
Rule,Regra
Sale,Venda
Sales,Vendas
Sales Person,Vendedor
Sales Person and Print,Vendedor e Imprimir
Sales Trend Report,Relatorio de Tendencia de Vendas
Sales processed,Vendas processadas
Save,Salvar
Save Settings,Salvar Configuracoes
Saved draft invoices will appear here.,As faturas de rascunho salvas aparecerao aqui.
Scan Error,Erro de Leitura
Scanned Code:,Codigo Lido:
Scanning items,Lendo itens
Scope,Escopo
Search customer,Buscar cliente
Search drafts or customers,Buscar rascunhos ou clientes
Search invoices or customers,Buscar faturas ou clientes
Search item,Buscar item
Search item / code,Buscar item/codigo
Search items or barcode,Buscar itens ou codigo de barras
Search return invoices or customers,Buscar faturas de devolucao ou clientes
Search supplier,Buscar fornecedor
Search unpaid invoices or customers,Buscar faturas nao pagas ou clientes
Select Batch,Selecionar Lote
Select a printer to use QZ silent printing.,Selecione uma impressora para impressao silenciosa do QZ.
Select an option on the left to view its settings.,Selecione uma opcao a esquerda para ver suas configuracoes.
Select printer,Selecionar impressora
Serial,Serial
Server CPU Usage:,Uso de CPU do Servidor:
Server Memory Usage:,Uso de Memoria do Servidor:
Server Uptime:,Tempo de Atividade do Servidor:
Service Charges,Encargos de Servico
Share,Compartilhar
